YEAR,Start_Year,Home_Value,Source
2016,0,196363,zillow
2017,1,203394,zillow
2018,2,212663,zillow
2019,3,219715,zillow
2020,4,230025,zillow
2021,5,266871,zillow
2022,6,308517,zillow
