Date,Day of the Week,Amount,Description,Financial goals and Savings,Debit,Need/Want/Saving
1/16/25,Thursday,20.14,Chick-Fil-A,Food,Debit,Want
1/16/25,Thursday,8.73,sharetea boba,Food,Debit,Want
1/16/25,Thursday,10,Underdog,Entertainment and Recreation,Debit,Need
1/16/25,Thursday,30,Zelle payment,Bills,Debit,Savings
1/16/25,Thursday,5,Wepa printing,Financial goals and Savings,Debit,Need
1/17/25,Friday,15.49,Netflix,Entertainment and Recreation,Debit,Want
1/17/25,Friday,41.50,Panera Bread,Food,Debit,Want
1/18/25,Saturday,20,Underdog,Entertainment and Recreation,Debit,Need
1/19/25,Sunday,190,Zelle payment,Bills,Debit,Savings
