YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2011,14,64391,39900,cargurus
2004,21,92065,16995,carfax
2016,9,128209,29999,carfax
2017,8,55597,52999,carfax
2006,19,108111,20940,edmunds
2013,12,27798,39999,truecar
2012,13,60700,46900,truecar
2018,7,63358,49998,cargurus
1997,28,30000,19999,autotrader
2009,16,46670,30500,autotrader
1996,29,38213,43888,autotrader
2002,23,50099,34998,carfax
2010,15,117300,20998,carfax
2023,2,0,94765,cargurus
